46001,Valencia,39.4698,-0.3774
46002,Valencia,39.4698,-0.3774
46003,Valencia,39.4698,-0.3774
46004,Valencia,39.4698,-0.3774
46005,Valencia,39.4698,-0.3774
46006,Valencia,39.4698,-0.3774
46007,Valencia,39.4698,-0.3774
46008,Valencia,39.4698,-0.3774
46009,Valencia,39.4698,-0.3774
46010,Valencia,39.4698,-0.3774
46011,Valencia,39.4698,-0.3774
46012,Valencia,39.4698,-0.3774
46013,Valencia,39.4698,-0.3774
46014,Valencia,39.4698,-0.3774
46015,Valencia,39.4698,-0.3774
46016,Valencia,39.4698,-0.3774
46017,Valencia,39.4698,-0.3774
46018,Valencia,39.4698,-0.3774
46019,Valencia,39.4698,-0.3774
46020,Valencia,39.4698,-0.3774
46021,Valencia,39.4698,-0.3774
46022,Valencia,39.4698,-0.3774
46023,Valencia,39.4698,-0.3774
46024,Valencia,39.4698,-0.3774
46025,Valencia,39.4698,-0.3774
46026,Valencia,39.4698,-0.3774
46035,Valencia,39.5,-0.4167
46035,Benimamet,39.5,-0.4167
46070,Valencia,39.4698,-0.3774
46071,Valencia,39.4698,-0.3774
46080,Valencia,39.4698,-0.3774
46100,Burjassot,39.5101,-0.4129
46110,Godella,39.5216,-0.4158
46110,Campo Olivar,39.5263,-0.4306
46111,Rocafort,39.5456,-0.4157
46111,Santa Barbara (Urbanitzacio),39.5333,-0.4
46112,Masarrochos,39.5373,-0.4108
46113,Moncada,39.5468,-0.3955
46114,Vinalesa,39.5379,-0.3709
46115,Alfara Del Patriarca,39.55,-0.3833
46116,Masias,39.5729,-0.4112
46116,San Isidro De Benageber,39.5729,-0.4112
46117,Benagolf (San Antonio) (Urbanizacion),39.5833,-0.45
46117,Vall De Flors (Urbanitzacio),39.5833,-0.45
46117,Betera,39.5833,-0.45
46117,Benagolf (Betera) (Urbanizacion),39.5833,-0.45
46118,Serra,39.6855,-0.4293
46118,Cartuja De Portaceli,39.6833,-0.4333
46118,Porta Coeli,39.6833,-0.4333
46119,Naquera,39.65,-0.4167
46120,Alboraya,39.5,-0.35
46127,Campamento Militar De Betera,39.5,-0.35
46130,Massamagrell,39.5738,-0.3364
46131,Casas De Barcena,39.5167,-0.3667
46131,Bonrepos I Mirambell,39.5167,-0.3667
46132,Almassera,39.5167,-0.35
46133,Meliana,39.5281,-0.3484
46134,Foios,39.5376,-0.355
46134,Cuiper,39.5333,-0.35
46135,Emperador,39.554,-0.3391
46135,Albalat Dels Sorells,39.5333,-0.35
46135,Mahuella Tauladella Rafalell Y Vistabella,39.5417,-0.3417
46136,Museros,39.5629,-0.3411
46137,Puebla De Farnals (Playa),39.5396,-0.3458
46138,Rafelbuñol/Rafelbunyol,39.5396,-0.3458
46139,La Pobla De Farnals,39.5396,-0.3458
46140,Ademuz,40.0626,-1.2862
46140,Puebla De San Miguel,40.05,-1.1333
46140,Arroyo Cerezo,40.1215,-1.4216
46140,Sesga,40.025,-1.1941
46140,Val De La Sabina,40.05,-1.2333
46140,Mas Del Olmo,40.0667,-1.1667
46141,Cuesta Del Rato,40.15,-1.3
46141,Castielfabib,40.13,-1.3043
46142,Los Santos,40.1078,-1.2823
46143,Torrebaja,40.096,-1.258
46144,Torrealta,40.1193,-1.2569
46144,Mas De Jacinto,40.1333,-1.25
46145,Vallanca,40.0631,-1.3392
46145,Negron,40.0333,-1.35
46146,Casas Bajas,40.0237,-1.2613
46147,Casas Altas,40.0397,-1.2627
46148,Algimia De Alfara,39.75,-0.3667
46149,Santo Espiritu Del Monte,39.6833,-0.3167
46149,Gilet,39.6779,-0.3247
46150,Campamento De Marines,39.6876,-0.7751
46160,Lliria,39.6333,-0.6
46160,Vanacloig,39.6667,-0.8167
46162,Pobleta De Andilla,39.8333,-0.8167
46162,Artaj,39.8018,-0.7904
46162,Higueruelas,39.791,-0.8595
46162,Andilla,39.8359,-0.8142
46162,Oset De Andilla,39.8167,-0.7667
46163,Marines,39.6748,-0.5624
46163,Marines Viejo,39.7416,-0.531
46164,Pedralba,39.6051,-0.7265
46165,Bugarra,39.6085,-0.776
46166,Gestalgar,39.6045,-0.8346
46167,Chulilla,39.6561,-0.892
46168,Losa Del Obispo,39.7,-0.8667
46168,Sot De Chera,39.6333,-0.9
46169,Gatova,39.7667,-0.5167
